ID	Reference	Second Reference	Text	Attribution	Possible Source	First mentioned	Variant	Second Variant
1	Psalter		Αἶνος τῷ θεῷ τῶν ἀοράτων.	Hesychius of Jerusalem	lexeis	II:87		
2	Psalter		Δαβὶδ προφήτου καὶ βασιλέως μέλος.			II:142		
3	Psalter	Ps 1 hypothesis	Ὄργανον μουσικὸν ὅπερ καὶ νάβλα καλεῖται.		lexeis	II:87	II:244, IV:366	III:446, IV:266
4	Psalter	Ps 1 hypothesis	Ὄργανον ὅπερ καὶ νάβλα καλεῖται.			II:244	II:87, IV:366	III:446, IV:266
5	Psalter		Ψαλτήριόν ἐστιν ὄργανον μουσικὸν ἐναρμονίους τοὺς φθόγγους		lexeis	II:244		IV:266
6	Psalter		Ψαλτήριον τῷ Δαυὶδ υἱοῦ Ἰεσσαὶ καὶ Ἰούδα κατὰ φύλην		lexeis	II:87		
7	Ps 1 hypothesis		Ἀνεπίγραφός ἐστι· καὶ ὁ πρῶτος ψαλμὸς καὶ ὁ δεύτερος	Athanasius of Alexandria	Eusebius of Caesarea, Athanasius of Alexandria	III:528		
8	Ps 1 hypothesis		Αἰνεῖτε τὸν ὄντα ἤ τὸν κύριον ἢ αἶνος θεοῦ.	Basil of Caesarea		II:244	IV:366-367	ΙΙΙ:446, IV:266
9	Ps 1 hypothesis		Αἰνεῖτε τὸν ὄντα ἤτοι τὸν θεόν· τὸ γὰρ αλληλου	Basil of Caesarea		IV:366-367	II:244	III:446, IV:266
10	Ps 1 hypothesis		Μακαρίζει δὲ ἄνδρα τὸν μὴ συντρέχοντα γνώμῃ ἀσεβῶν ὡς μὴ	Basil of Caesarea		IV:367		
11	Ps 1 hypothesis		Μακαριστέον γὰρ ἀληθῶς οὐ τὸ<ν> με<τέ>χοντ<τα> ἀρετῆς	Basil of Caesarea		IV:367		
12	Ps 1 hypothesis	Psalter	Ὄργανον ὅπερ καὶ νάβλα καλεῖται παρ' Ἑβραίοις			IV:366	II:87, II:244	III:446, IV:266
13	Ps 1 title		Οὗτος ὁ ψαλμὸς προτρέπεται προσελθεῖν μὲν τῇ θεοσεβείᾳ		Eusebius of Caesarea	II:58-59		
14	Ps 1		Καὶ τίνι, τοῦ Χριστοῦ μᾶλλον, ἁρμόσαι ταῦτα δυνήσεται;			IV:58		
15	Ps 1		Ὁ μὲν Δαβὶδ καὶ ζῶντ<ας> μακαρίζει, ὁ δὲ Σολομῶν			III:233		
16	Ps 1:1		[...] τὸν θεὸν αγ[5 litt] ἀσεβεῖς δέ φασιν εἶναι τοὺς εἰδωλολατρ[15 litt]			III:140		
17	Ps 1:1		Ἀλλὰ σὺ μὴ καθίσῃς ἐπὶ καθέδρας λοιμῶν, οἵτινες			III:529		
18	Ps 1:1		Ἁμαρτωλοὺς εἶναί φαμεν τοὺς ὑποτεθέντας μὲν τῇ πίστει			IV:367		
19	Ps 1:1		Ἀνὴρ εἰπὼν καὶ τὴν γυναῖκα συμπεριέλαβεν	Basil of Caesarea	Theodoret of Cyrrhus	II:59		
